,GF,SPF
884,Rcn1,Mef2c
885,Rtn1,C9orf72
886,Fam118a,Cacnb1
887,Pgm5,Tgfb3
888,Metap1d,Casp12
889,Arhgap4,Basp1
890,Fmo5,Sephs1
891,Fst,Exph5
892,mt-Nd6,Olfr78
893,Nr4a2,Sln
894,Scg3,Myl1
895,Utp15,Serpina3n
896,Fermt3,Entpd3
897,Galnt18,Smc2
898,Zswim6,Slc39a8
899,Cenpa,Slc10a4
900,Tha1,Strip2
901,Serpina3g,Poglut2
902,Tbce,Cilp
903,Pard3b,Neurl1a
904,Fam193b,Snhg11
905,Itga4,Zcchc12
906,Tnrc6a,Ptbp2
907,C4bp,Cplx1
908,Fap,Tcf21
909,Fam107b,Tmem154
910,Arl4c,Adamts7
911,Il33,Cacna1d
912,Olfm1,Carmil3
913,Ryr3,Rpusd4
914,Qtrt2,Hand2os1
915,2610008E11Rik,Sv2a
916,Kcna2,Pimreg
917,Cd209g,Chrdl2
918,Ndufa4l2,Atl1
919,Tmem47,Fgfr4
920,Slc6a17,Adamts1
921,Riox1,Myb
922,C2cd3,Morn4
923,Mycl,Dact3
924,Lrrk2,Rhoj
925,Fat4,Ppp1r12b
926,Spc25,Pus7
927,Calcrl,Rgl1
928,Grin1,Tenm4
929,4931414P19Rik,Fhod3
930,Pld2,Fyn
931,Mgl2,Sfrp1
932,Arhgef25,Adnp2
933,Rprd1a,Hoxa7
934,Cdo1,Arsg
935,Rdx,Ptger4
936,Igfbp2,Stmn4
937,Ccdc184,Wdr35
938,Afap1,Myo5a
939,Pnpt1,Fgf10
940,Ccnl1,Napb
941,Unc5a,Chrna3
942,Nrros,Snhg10
943,Adrb2,Slc12a2
944,Camp,Zdhhc8
945,Clba1,Pnck
946,Upf3b,Rab3c
947,Cttnbp2,Wdr12
948,Nup155,Ret
949,Gimap8,Sall2
950,Jag2,Shmt1
951,I830077J02Rik,Myl4
952,Gramd1a,Cuedc1
953,Sox10,Cdc20
954,Pcolce2,Prg2
955,Pclo,Cd1d1
956,Chrm2,Tacr2
957,Agbl5,Creld1
958,Dhx33,Pcbp3
959,Cntn1,Htr3a
960,Sgo2a,Kcnab2
961,Smc4,Cav2
962,Cdh5,Tceal5
963,Cxcl14,Tmigd1
964,Rtn4rl1,Bglap
965,Mypop,Rundc3a
966,Sertad4,Sez6
967,Podn,Mmp23
968,Ido1,Prpf4
969,Cpsf6,Aplp1
970,Ankrd16,Fzd2
971,Nr2f1,Kit
972,Lepr,Pik3r5
973,Zfp459,Dpp6
974,Cytl1,Itga1
975,Unc45b,Clca3a1
976,Reck,Birc6
977,Lyrm7,Gda
978,Trim39,Fmod
979,Xcl1,Enpp3
980,Hand2,Prkd3
981,Trf,Rab3il1
982,Tspyl4,Cdh11
983,Elp3,Reep1
984,Uvssa,Scn11a
985,Nefl,Pear1
986,Lacc1,Mtmr10
987,Npm3,Lhfpl5
988,Mia2,Chil1
989,Abcc9,Papss2
990,Kdm1b,Mettl16
991,Ro60,Poglut1
992,Zfp992,Rcan2
993,Btbd9,Lrrc32
994,Apol9b,Snap91
995,S100z,Cetn4
996,Emsy,Vat1l
997,Tek,Rap2b
998,Pth1r,Dnph1
999,Gm17025,Id4
1000,Mettl5,Slc35d3
1001,Cramp1l,Cnr1
1002,Pcsk4,Asf1b
1003,Zc3h13,Olfml1
1004,Nhlrc1,Fsd1l
1005,C430042M11Rik,Hmgn3
1006,Ina,Htra3
1007,Kif5c,Zcchc18
1008,Srpk3,Svil
1009,Lrig2,Ap1s3
1010,Fstl3,Klhl21
1011,Sstr2,Rit2
1012,Arl5c,Cckar
1013,Celf6,Hist1h1d
1014,Gpr183,Syt6
1015,Itpr2,Gga2
1016,Clec2e,Scoc
1017,Hist1h1c,Evc2
1018,Zbtb38,Cend1
1019,Ctla2b,Lmln
1020,Meis2,Stra6l
1021,Foxn2,Phactr1
1022,Cenpe,Gpr37l1
1023,Pkn3,Arl4d
1024,Atp2b4,Cacna2d1
1025,Zwint,Pfn2
1026,Kcnj8,Kcnt2
1027,Ppie,Renbp
1028,Swt1,Itgam
1029,Tbc1d10b,Chl1
1030,Xpo4,Eda
1031,Zscan20,Gm15848
1032,Aldoart1,Zfp820
1033,Zbtb11,Hp
1034,Myct1,Lix1
1035,Apc,Klf15
1036,Inpp5d,Utp14a
1037,Steap4,Syk
1038,St3gal1,Nme6
1039,F2r,Fignl2
1040,Cbr4,Megf9
1041,S1pr3,Helz2
1042,Dip2c,Tmod2
1043,Vsir,Orc1
1044,Phox2a,Slc7a14
1045,B230354K17Rik,Duox2
1046,Lcn2,Lgi4
1047,C630043F03Rik,Gal
1048,Gabpb2,P2rx2
1049,Sinhcaf,Ror1
1050,Mmd,Gpc1
1051,1700029I15Rik,Ndn
1052,Pced1b,Frem2
1053,Arhgap10,Nlgn3
1054,Ric1,Ghrl
1055,Fgd5,Gas5
1056,Oasl1,Crip2
1057,Tafa5,Cd248
1058,9430065F17Rik,Stox2
1059,Rgs4,Syt4
1060,1700030K09Rik,Lrsam1
1061,Sv2b,Cp
1062,Ncapd3,Anxa3
1063,Apbb1ip,Etv4
1064,Myoc,Asic2
1065,Cldn2,Foxp2
1066,Mir17hg,Sncaip
1067,Ryr2,Scai
1068,Nudt7,Etv1
1069,Rspo3,9230112E08Rik
1070,Moxd1,Bcap29
1071,Wipf1,Cdh6
1072,Lilr4b,4930539E08Rik
1073,Tmem132a,Ssbp2
1074,Mest,Yod1
1075,Gm7160,Spock3
1076,Ccn1,Vim
1077,Emb,Aldh1a3
1078,Trmt9b,Fez1
1079,Map3k15,Swap70
1080,Mapk10,Noc4l
1081,Gcfc2,Mcm5
1082,Usp49,Fgf13
1083,Agfg1,Lonrf2
1084,Pecam1,Creb5
1085,Sik1,Pip4k2b
1086,Tagap,Syt1
1087,Zfp874a,Scg5
1088,Hspe1-rs1,Sema3g
1089,Cavin2,Bmerb1
1090,Pcsk6,Hck
1091,Pik3ip1,Tdp1
1092,Scn3a,Rcsd1
1093,Itgb3,Thy1
1094,Prdm6,Slc18a2
1095,Ptn,Thbs4
1096,Tctn3,Tnfrsf11b
1097,Plekhb1,Esco2
1098,Tead4,Sag
1099,4930503L19Rik,Adgra2
1100,Grem1,Cyp2e1
1101,Nudt13,Zfp956
1102,Zfp597,Tmprss5
1103,Arhgdig,Supt16
1104,Nkd2,Gramd2
1105,Pstpip1,Ripor3
1106,Kansl2,Nhsl2
1107,Csnk1g1,Flot2
1108,Tssk4,Pantr1
1109,Ppfibp1,Tie1
1110,Notch3,Mcam
1111,Ackr3,Jph3
1112,Colq,Hpcal4
1113,Itga2,Chek1
1114,Dmtn,Ap3b2
1115,Adgrd1,Qk
1116,Banp,Bst2
1117,Sap25,Tbc1d31
1118,Apobec3,Klk1b4
1119,Dhdh,Arhgef39
1120,C1qtnf9,Cpne4
1121,Psip1,Rad54b
1122,Sclt1,Ighg3
1123,Klhl6,Ptprb
1124,Sult1c2,Sgip1
1125,Prss30,AW551984
1126,Nrsn1,Mapk8ip2
1127,Gins3,Ppp2r2c
1128,Hap1,Kcnn3
1129,Gm28151,Adcy7
1130,Bod1l,Gfap
1131,Sh3pxd2b,Adgrb2
1132,Msn,Ythdc1
1133,Cdh17,Tnfrsf13b
1134,Ahcyl2,Shisa7
1135,Themis2,Cdh2
1136,Adamts15,Atrn
1137,Nuak1,Ntrk3
1138,Evi2a,Dpysl5
1139,Bag2,Slc5a7
1140,Gata2,Mmp12
1141,Rsad2,Asphd2
1142,Map3k20,Rims3
1143,Srgap1,Pcbp4
1144,Itgal,Plp1
1145,Cd209f,Schip1
1146,Syt17,Lrp4
1147,Vamp1,Abca2
1148,Rabgef1,Cacna1c
1149,Lax1,Tcf4
1150,Sncb,Mn1
1151,Flcn,Adamtsl1
1152,Gprasp1,Akap12
1153,Cdk14,Aif1
1154,Lgi2,Kcnmb1
1155,Cnih2,Crmp1
1156,Ccl24,Sez6l
1157,Ccdc149,Chsy3
1158,Gm48898,Usp38
1159,Agtpbp1,Msr1
1160,2900093K20Rik,Hinfp
1161,Nexn,Mxd1
1162,Cbarp,Kcnip4
1163,Slc44a2,Ttf2
1164,Gm10501,Acbd4
1165,Dnajc6,Meis1
1166,Acsl6,Brf1
1167,Glmn,Sema3f
1168,Tmod1,Osr2
1169,Intu,Jam2
1170,Il1b,Nxn
1171,Itga2b,Sgcb
1172,Ighg2c,Gdap1
1173,Cd93,Orc3
1174,Mfng,Gfra2
1175,Mab21l1,Zfp948
1176,Dpy19l1,Pnmal1
1177,Dpp10,Cep78
1178,Fgd2,Phf3
1179,Cadps,Gm4924
1180,Wnt4,Ngf
1181,Ints6l,Mmrn2
1182,Ngfr,Mmd2
1183,Lonrf1,Fktn
1184,Lrp11,Sorbs3
1185,Rabl2,Col9a2
1186,Usp33,Map3k5
1187,Ttc37,Tacc1
1188,Fermt2,Spock2
1189,Fbxo46,Cd72
1190,Ms4a6b,Npl
1191,Gnl3l,Armcx1
1192,Vcam1,Cyp2c65
1193,Rab26os,Cxcl12
1194,Npnt,Ccbe1
1195,Dnmt3a,Adamts5
1196,Rgs14,Ndc80
1197,Otud3,Sema7a
1198,Rusc2,Zfp280d
1199,Cdkn1b,Necab2
1200,Jmy,Prpf3
1201,Eln,2900076A07Rik
1202,Gpm6a,Tmem179
1203,Ackr1,Ppp2r5e
1204,Mok,Hoxa2
1205,Telo2,Car5b
1206,Sntb1,Sez6l2
1207,Fam13c,Rnf144b
1208,Adssl1,Lcorl
1209,Wipf3,Ostm1
1210,A130010J15Rik,Lrch2
1211,Dna2,Ecm2
1212,Gm47283,Minar2
1213,B4galt2,Dck
1214,Dennd3,Asb3
1215,Fam72a,Slc9a5
1216,Tle2,Apbb1
1217,Map6,Tspyl3
1218,Npy1r,Adam11
1219,Cd68,Ptch2
1220,Efemp1,Tfrc
1221,Adgrg6,Ank2
1222,Bahd1,Cpe
1223,Snapc4,AI467606
1224,Greb1,Cd83
1225,Isx,Atxn3
1226,Syt15,Ubiad1
1227,Cdc6,Vegfc
1228,Abcd2,Hs3st2
1229,Amigo2,Nefm
1230,Rgs7bp,Megf6
1231,Gng4,Higd1b
1232,Pdyn,Dmd
1233,Rbm8a2,Nav2
1234,Cox4i2,Ntn1
1235,Tns1,Angptl8
1236,Lims2,Dennd4a
1237,Kif2a,Emilin2
1238,Synm,Serpini1
1239,Magee1,Piga
1240,Dkk2,B4galnt1
1241,Nos3,Hmga2
1242,Gimap9,Ccnk
1243,Nptxr,Ccl9
1244,Ercc6,R3hdm2
1245,Plcg2,Rbm33
1246,Tmeff2,Tbc1d24
1247,Dlk1,Tmem130
1248,Cdt1,A930024E05Rik
1249,Jag1,Pfas
1250,Galr2,Klf7
1251,Tmem273,Caskin1
1252,B3galnt1,Pou3f3
1253,Eef1e1,Alkbh8
1254,Spaca6,Arsi
1255,Pid1,Bdkrb2
1256,Tspan33,Disp2
1257,Ahi1,Rbm18
1258,Apc2,Agtr1a
1259,Xk,Rbms3
1260,Ccl2,Dph5
1261,Chodl,AU020206
1262,Spire1,Ap4b1
1263,Rasl12,Zfp760
1264,Rbm15b,Spc24
1265,Syt5,Syn1
1266,Npy,BC034090
1267,Nrip2,Syn2
1268,Ptprz1,Nog
1269,Icosl,Elp2
1270,Il17rb,Aspg
1271,Ckap2l,Hoxa10
1272,AI662270,Snhg5
1273,Gfra1,Gfra1
1274,Snhg5,AI662270
1275,Hoxa10,Ckap2l
1276,Aspg,Il17rb
1277,Elp2,Icosl
1278,Nog,Ptprz1
1279,Syn2,Nrip2
1280,BC034090,Npy
1281,Syn1,Syt5
1282,Spc24,Rbm15b
1283,Zfp760,Rasl12
1284,Ap4b1,Spire1
1285,AU020206,Chodl
1286,Dph5,Ccl2
1287,Rbms3,Xk
1288,Agtr1a,Apc2
1289,Rbm18,Ahi1
1290,Disp2,Tspan33
1291,Bdkrb2,Pid1
1292,Arsi,Spaca6
1293,Alkbh8,Eef1e1
1294,Pou3f3,B3galnt1
1295,Caskin1,Tmem273
1296,Klf7,Galr2
1297,Pfas,Jag1
1298,A930024E05Rik,Cdt1
1299,Tmem130,Dlk1
1300,Tbc1d24,Tmeff2
1301,Rbm33,Plcg2
1302,R3hdm2,Ercc6
1303,Ccl9,Nptxr
1304,Ccnk,Gimap9
1305,Hmga2,Nos3
1306,B4galnt1,Dkk2
1307,Piga,Magee1
1308,Serpini1,Synm
1309,Emilin2,Kif2a
1310,Dennd4a,Lims2
1311,Angptl8,Tns1
1312,Ntn1,Cox4i2
1313,Nav2,Rbm8a2
1314,Dmd,Pdyn
1315,Higd1b,Gng4
1316,Megf6,Rgs7bp
1317,Nefm,Amigo2
1318,Hs3st2,Abcd2
1319,Vegfc,Cdc6
1320,Ubiad1,Syt15
1321,Atxn3,Isx
1322,Cd83,Greb1
1323,AI467606,Snapc4
1324,Cpe,Bahd1
1325,Ank2,Adgrg6
1326,Tfrc,Efemp1
1327,Ptch2,Cd68
1328,Adam11,Npy1r
1329,Tspyl3,Map6
1330,Apbb1,Tle2
1331,Slc9a5,Fam72a
1332,Asb3,Dennd3
1333,Dck,B4galt2
1334,Minar2,Gm47283
1335,Ecm2,Dna2
1336,Lrch2,A130010J15Rik
1337,Ostm1,Wipf3
1338,Lcorl,Adssl1
1339,Rnf144b,Fam13c
1340,Sez6l2,Sntb1
1341,Car5b,Telo2
1342,Hoxa2,Mok
1343,Ppp2r5e,Ackr1
1344,Tmem179,Gpm6a
1345,2900076A07Rik,Eln
1346,Prpf3,Jmy
1347,Necab2,Cdkn1b
1348,Zfp280d,Rusc2
1349,Sema7a,Otud3
1350,Ndc80,Rgs14
1351,Adamts5,Dnmt3a
1352,Ccbe1,Npnt
1353,Cxcl12,Rab26os
1354,Cyp2c65,Vcam1
1355,Armcx1,Gnl3l
1356,Npl,Ms4a6b
1357,Cd72,Fbxo46
1358,Spock2,Fermt2
1359,Tacc1,Ttc37
1360,Map3k5,Usp33
1361,Col9a2,Rabl2
1362,Sorbs3,Lrp11
1363,Fktn,Lonrf1
1364,Mmd2,Ngfr
1365,Mmrn2,Ints6l
1366,Ngf,Wnt4
1367,Gm4924,Cadps
1368,Phf3,Fgd2
1369,Cep78,Dpp10
1370,Pnmal1,Dpy19l1
1371,Zfp948,Mab21l1
1372,Gfra2,Mfng
1373,Orc3,Cd93
1374,Gdap1,Ighg2c
1375,Sgcb,Itga2b
1376,Nxn,Il1b
1377,Jam2,Intu
1378,Osr2,Tmod1
1379,Sema3f,Glmn
1380,Brf1,Acsl6
1381,Meis1,Dnajc6
1382,Acbd4,Gm10501
1383,Ttf2,Slc44a2
1384,Kcnip4,Cbarp
1385,Mxd1,Nexn
1386,Hinfp,2900093K20Rik
1387,Msr1,Agtpbp1
1388,Usp38,Gm48898
1389,Chsy3,Ccdc149
1390,Sez6l,Ccl24
1391,Crmp1,Cnih2
1392,Kcnmb1,Lgi2
1393,Aif1,Cdk14
1394,Akap12,Gprasp1
1395,Adamtsl1,Flcn
1396,Mn1,Sncb
1397,Tcf4,Lax1
1398,Cacna1c,Rabgef1
1399,Abca2,Vamp1
1400,Lrp4,Syt17
1401,Schip1,Cd209f
1402,Plp1,Itgal
1403,Pcbp4,Srgap1
1404,Rims3,Map3k20
1405,Asphd2,Rsad2
1406,Mmp12,Gata2
1407,Slc5a7,Bag2
1408,Dpysl5,Evi2a
1409,Ntrk3,Nuak1
1410,Atrn,Adamts15
1411,Cdh2,Themis2
1412,Shisa7,Ahcyl2
1413,Tnfrsf13b,Cdh17
1414,Ythdc1,Msn
1415,Adgrb2,Sh3pxd2b
1416,Gfap,Bod1l
1417,Adcy7,Gm28151
1418,Kcnn3,Hap1
1419,Ppp2r2c,Gins3
1420,Mapk8ip2,Nrsn1
1421,AW551984,Prss30
1422,Sgip1,Sult1c2
1423,Ptprb,Klhl6
1424,Ighg3,Sclt1
1425,Rad54b,Psip1
1426,Cpne4,C1qtnf9
1427,Arhgef39,Dhdh
1428,Klk1b4,Apobec3
1429,Tbc1d31,Sap25
1430,Bst2,Banp
1431,Qk,Adgrd1
1432,Ap3b2,Dmtn
1433,Chek1,Itga2
1434,Hpcal4,Colq
1435,Jph3,Ackr3
1436,Mcam,Notch3
1437,Tie1,Ppfibp1
1438,Pantr1,Tssk4
1439,Flot2,Csnk1g1
1440,Nhsl2,Kansl2
1441,Ripor3,Pstpip1
1442,Gramd2,Nkd2
1443,Supt16,Arhgdig
1444,Tmprss5,Zfp597
1445,Zfp956,Nudt13
1446,Cyp2e1,Grem1
1447,Adgra2,4930503L19Rik
1448,Sag,Tead4
1449,Esco2,Plekhb1
1450,Tnfrsf11b,Tctn3
1451,Thbs4,Ptn
1452,Slc18a2,Prdm6
1453,Thy1,Itgb3
1454,Rcsd1,Scn3a
1455,Tdp1,Pik3ip1
1456,Hck,Pcsk6
1457,Bmerb1,Cavin2
1458,Sema3g,Hspe1-rs1
1459,Scg5,Zfp874a
1460,Syt1,Tagap
1461,Pip4k2b,Sik1
1462,Creb5,Pecam1
1463,Lonrf2,Agfg1
1464,Fgf13,Usp49
1465,Mcm5,Gcfc2
1466,Noc4l,Mapk10
1467,Swap70,Map3k15
1468,Fez1,Trmt9b
1469,Aldh1a3,Emb
1470,Vim,Ccn1
1471,Spock3,Gm7160
1472,Yod1,Mest
1473,Ssbp2,Tmem132a
1474,4930539E08Rik,Lilr4b
1475,Cdh6,Wipf1
1476,Bcap29,Moxd1
1477,9230112E08Rik,Rspo3
1478,Etv1,Nudt7
1479,Scai,Ryr2
1480,Sncaip,Mir17hg
1481,Foxp2,Cldn2
1482,Asic2,Myoc
1483,Etv4,Apbb1ip
1484,Anxa3,Ncapd3
1485,Cp,Sv2b
1486,Lrsam1,1700030K09Rik
1487,Syt4,Rgs4
1488,Stox2,9430065F17Rik
1489,Cd248,Tafa5
1490,Crip2,Oasl1
1491,Gas5,Fgd5
1492,Ghrl,Ric1
1493,Nlgn3,Arhgap10
1494,Frem2,Pced1b
1495,Ndn,1700029I15Rik
1496,Gpc1,Mmd
1497,Ror1,Sinhcaf
1498,P2rx2,Gabpb2
1499,Gal,C630043F03Rik
1500,Lgi4,Lcn2
1501,Duox2,B230354K17Rik
1502,Slc7a14,Phox2a
1503,Orc1,Vsir
1504,Tmod2,Dip2c
1505,Helz2,S1pr3
1506,Megf9,Cbr4
1507,Fignl2,F2r
1508,Nme6,St3gal1
1509,Syk,Steap4
1510,Utp14a,Inpp5d
1511,Klf15,Apc
1512,Lix1,Myct1
1513,Hp,Zbtb11
1514,Zfp820,Aldoart1
1515,Gm15848,Zscan20
1516,Eda,Xpo4
1517,Chl1,Tbc1d10b
1518,Itgam,Swt1
1519,Renbp,Ppie
1520,Kcnt2,Kcnj8
1521,Pfn2,Zwint
1522,Cacna2d1,Atp2b4
1523,Arl4d,Pkn3
1524,Gpr37l1,Cenpe
1525,Phactr1,Foxn2
1526,Stra6l,Meis2
1527,Lmln,Ctla2b
1528,Cend1,Zbtb38
1529,Evc2,Hist1h1c
1530,Scoc,Clec2e
1531,Gga2,Itpr2
1532,Syt6,Gpr183
1533,Hist1h1d,Celf6
1534,Cckar,Arl5c
1535,Rit2,Sstr2
1536,Klhl21,Fstl3
1537,Ap1s3,Lrig2
1538,Svil,Srpk3
1539,Zcchc18,Kif5c
1540,Htra3,Ina
1541,Hmgn3,C430042M11Rik
1542,Fsd1l,Nhlrc1
1543,Olfml1,Zc3h13
1544,Asf1b,Pcsk4
1545,Cnr1,Cramp1l
1546,Slc35d3,Mettl5
1547,Id4,Gm17025
1548,Dnph1,Pth1r
1549,Rap2b,Tek
1550,Vat1l,Emsy
1551,Cetn4,S100z
1552,Snap91,Apol9b
1553,Lrrc32,Btbd9
1554,Rcan2,Zfp992
1555,Poglut1,Ro60
1556,Mettl16,Kdm1b
1557,Papss2,Abcc9
1558,Chil1,Mia2
1559,Lhfpl5,Npm3
1560,Mtmr10,Lacc1
1561,Pear1,Nefl
1562,Scn11a,Uvssa
1563,Reep1,Elp3
1564,Cdh11,Tspyl4
1565,Rab3il1,Trf
1566,Prkd3,Hand2
1567,Enpp3,Xcl1
1568,Fmod,Trim39
1569,Gda,Lyrm7
1570,Birc6,Reck
1571,Clca3a1,Unc45b
1572,Itga1,Cytl1
1573,Dpp6,Zfp459
1574,Pik3r5,Lepr
1575,Kit,Nr2f1
1576,Fzd2,Ankrd16
1577,Aplp1,Cpsf6
1578,Prpf4,Ido1
1579,Mmp23,Podn
1580,Sez6,Sertad4
1581,Rundc3a,Mypop
1582,Bglap,Rtn4rl1
1583,Tmigd1,Cxcl14
1584,Tceal5,Cdh5
1585,Cav2,Smc4
1586,Kcnab2,Sgo2a
1587,Htr3a,Cntn1
1588,Pcbp3,Dhx33
1589,Creld1,Agbl5
1590,Tacr2,Chrm2
1591,Cd1d1,Pclo
1592,Prg2,Pcolce2
1593,Cdc20,Sox10
1594,Cuedc1,Gramd1a
1595,Myl4,I830077J02Rik
1596,Shmt1,Jag2
1597,Sall2,Gimap8
1598,Ret,Nup155
1599,Wdr12,Cttnbp2
1600,Rab3c,Upf3b
1601,Pnck,Clba1
1602,Zdhhc8,Camp
1603,Slc12a2,Adrb2
1604,Snhg10,Nrros
1605,Chrna3,Unc5a
1606,Napb,Ccnl1
1607,Fgf10,Pnpt1
1608,Myo5a,Afap1
1609,Wdr35,Ccdc184
1610,Stmn4,Igfbp2
1611,Ptger4,Rdx
1612,Arsg,Cdo1
1613,Hoxa7,Rprd1a
1614,Adnp2,Arhgef25
1615,Sfrp1,Mgl2
1616,Fyn,Pld2
1617,Fhod3,4931414P19Rik
1618,Tenm4,Grin1
1619,Rgl1,Calcrl
1620,Pus7,Spc25
1621,Ppp1r12b,Fat4
1622,Rhoj,Lrrk2
1623,Dact3,Mycl
1624,Morn4,C2cd3
1625,Myb,Riox1
1626,Adamts1,Slc6a17
1627,Fgfr4,Tmem47
1628,Atl1,Ndufa4l2
1629,Chrdl2,Cd209g
1630,Pimreg,Kcna2
1631,Sv2a,2610008E11Rik
1632,Hand2os1,Qtrt2
1633,Rpusd4,Ryr3
1634,Carmil3,Olfm1
1635,Cacna1d,Il33
1636,Adamts7,Arl4c
1637,Tmem154,Fam107b
1638,Tcf21,Fap
1639,Cplx1,C4bp
1640,Ptbp2,Tnrc6a
1641,Zcchc12,Itga4
1642,Snhg11,Fam193b
1643,Neurl1a,Pard3b
1644,Cilp,Tbce
1645,Poglut2,Serpina3g
1646,Strip2,Tha1
1647,Slc10a4,Cenpa
1648,Slc39a8,Zswim6
1649,Smc2,Galnt18
1650,Entpd3,Fermt3
1651,Serpina3n,Utp15
1652,Myl1,Scg3
1653,Sln,Nr4a2
1654,Olfr78,mt-Nd6
1655,Exph5,Fst
1656,Sephs1,Fmo5
1657,Basp1,Arhgap4
1658,Casp12,Metap1d
1659,Tgfb3,Pgm5
1660,Cacnb1,Fam118a
1661,C9orf72,Rtn1
1662,Mef2c,Rcn1
1663,Synpo2,Trpv2
1664,Itpkb,Mmp7
1665,Mxra7,Zscan26
1666,Tm4sf4,E130317F20Rik
1667,Plin4,Tet2
1668,Chn1,Lcp2
1669,Inmt,Ppp1r18
1670,Mamdc2,Sox17
1671,Nrep,Ints2
1672,Tmem268,Peli3
1673,Phox2b,Dffb
1674,Plekha2,C4b
1675,Pcsk2,Celf2
1676,Phf21b,Gas1
1677,Art3,Tnnt2
1678,Ncapg,AB124611
1679,Syp,Zfp592
1680,Dock9,Ly6d
1681,Phka2,Fnbp4
1682,Aatk,Plxnb1
1683,Popdc2,Birc2
1684,C1qa,Kyat1
1685,Flnc,Ankrd12
1686,Ngb,Arid4a
1687,Nup85,Ppm1f
1688,Pla2g2f,Flt4
1689,Kptn,Gjc2
1690,Kif21a,Gfpt2
1691,Bmp5,Gprasp2
1692,Mmp17,Otulinl
1693,Lyz2,Tube1
1694,Ddr2,Bcl2a1b
1695,Mapt,Scgb3a1
1696,Nos1,Pik3ap1
1697,Snca,2510046G10Rik
1698,Dse,Clcf1
1699,Aoc3,Ebf1
1700,Abraxas1,Ikzf2
1701,Egflam,Lat2
1702,Cap2,Fabp1
1703,Gm1965,Rab11fip2
1704,Kcnip1,Peg3
1705,Yeats2,N4bp2os
1706,Mageh1,Peli2
1707,Myzap,Jmjd7
1708,Dmwd,Slc22a17
1709,Ddah2,Mdfic
1710,Gjc1,Ewsr1
1711,Enah,Ccdc88a
1712,A630023A22Rik,Gin1
1713,Tubb5,Ccr10
1714,Hacd4,1010001B22Rik
1715,Espl1,Adgrg3
1716,Fxyd5,Smarcd3
